id,name,party,state,vote.6350,vote.6351,vote.6352,vote.6354,vote.6356,vote.6357,vote.6358,vote.6359,vote.6360,vote.6362,vote.6363,vote.6368,vote.6369,vote.6370,vote.6371,vote.6372,vote.6373,vote.6374,vote.6375,vote.6377,vote.6378,vote.6379,vote.6380,vote.6381,vote.6382,vote.6384,vote.6385,vote.6386
93,ANTONIO BALHMANN,PROS,CE,2,2,2,1,2,2,2,1,4,1,2,4,4,4,4,4,4,4,4,2,1,1,2,2,2,1,3,2
94,CABO SABINO,PR,CE,2,2,2,2,1,1,1,1,2,2,1,2,1,2,1,1,1,4,1,2,1,2,2,2,1,1,1,2
95,DANILO FORTE,PMDB,CE,2,2,1,1,2,2,1,1,2,1,1,2,2,1,1,1,2,2,1,2,1,2,2,2,1,1,2,2
96,LEONIDAS CRISTINO,PROS,CE,2,1,2,2,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,2,1,1,2,2,1,1,5,2
97,DOMINGOS NETO,PROS,CE,2,2,1,2,2,2,1,1,4,1,1,4,4,4,4,4,4,4,4,3,1,1,2,2,1,1,5,4
98,LUIZIANNE LINS,PT,CE,2,2,2,2,1,3,2,1,1,2,1,2,2,1,2,1,4,1,2,1,1,1,2,2,1,2,3,2
99,GENECIAS NORONHA,Solidarie,CE,2,2,1,1,2,2,1,1,4,2,1,2,2,1,1,1,1,1,1,4,4,4,4,4,4,4,4,4
100,GORETE PEREIRA,PR,CE,4,4,4,4,4,4,4,4,4,4,4,4,4,1,1,4,1,2,4,1,1,1,4,2,1,1,2,2
101,JOSE AIRTON CIRILO,PT,CE,2,2,2,2,1,3,2,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,4,2,1,1,2,4
102,RAIMUNDO GOMES DE MATOS,PSDB,CE,2,1,2,1,4,4,4,4,4,4,4,2,2,1,1,1,1,1,1,3,1,2,2,2,1,1,5,4
103,JOSE GUIMARAES,PT,CE,2,2,2,2,1,1,2,1,4,2,1,2,2,1,2,1,4,4,4,4,1,1,2,2,1,1,4,2
104,MACEDO,PSL,CE,2,2,1,2,2,2,1,1,2,2,1,2,2,1,1,1,1,1,1,1,1,1,2,2,1,1,2,2
105,MORONI TORGAN,DEM,CE,2,1,1,2,3,2,1,1,2,1,1,1,1,2,2,1,1,1,1,1,1,2,2,2,1,1,1,2
106,MOSES RODRIGUES,PPS,CE,2,1,1,2,1,2,2,1,2,2,1,2,1,2,2,1,1,1,1,1,1,1,1,2,1,2,1,2
107,ODORICO MONTEIRO,PT,CE,2,2,2,2,1,3,2,1,1,2,1,2,2,1,1,1,1,1,1,1,1,1,4,2,1,1,2,2
108,VITOR VALIM,PMDB,CE,2,2,1,2,2,2,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,1,2
109,ATILA LIRA,PSB,PI,2,2,2,1,1,2,1,1,2,1,1,2,2,1,1,1,1,1,1,1,1,2,2,2,1,1,5,2
110,MARCELO CASTRO,PMDB,PI,2,1,2,2,1,1,2,1,4,1,2,2,2,1,1,2,1,1,1,4,4,4,4,4,4,4,4,4
111,ASSIS CARVALHO,PT,PI,2,2,2,2,1,3,2,1,4,1,1,4,2,1,2,1,1,4,4,4,4,4,4,4,4,4,4,4
113,IRACEMA PORTELLA,PP,PI,4,2,1,1,1,2,1,1,4,2,1,1,4,1,1,1,2,2,1,1,1,2,2,2,1,1,2,2
114,JULIO CESAR,PSD,PI,4,2,1,1,2,2,1,1,2,2,1,2,2,1,1,1,1,1,4,3,1,1,2,2,1,2,1,2
115,HERACLITO FORTES,PSB,PI,2,2,1,1,2,2,1,1,4,2,2,2,2,1,4,4,2,2,1,4,4,4,4,4,4,4,4,4
117,RODRIGO MARTINS,PSB,PI,2,2,2,1,1,2,2,1,4,1,2,2,2,1,1,1,1,1,1,1,1,2,2,2,1,2,5,2
118,PAES LANDIM,PTB,PI,4,1,1,1,2,2,1,1,4,2,1,1,2,2,2,1,2,2,1,4,1,3,1,4,1,1,2,4
119,FABIO FARIA,PSD,RN,2,2,2,1,2,2,1,1,4,1,4,2,2,1,1,1,1,1,1,1,1,1,2,2,1,2,1,4
120,FELIPE MAIA,DEM,RN,2,2,1,1,3,4,1,1,4,2,1,4,1,2,1,1,1,1,1,3,1,1,2,2,1,2,2,2
121,ANTONIO JACOME,PMN,RN,2,2,2,2,2,2,1,1,2,2,1,2,1,2,1,1,1,1,1,4,1,2,2,2,1,1,1,4
122,BETO ROSADO,PP,RN,2,2,2,1,2,2,1,1,4,2,4,1,2,1,1,1,4,1,1,2,1,2,2,2,1,2,4,4
123,RAFAEL MOTTA,PROS,RN,2,4,2,2,1,2,1,1,4,2,1,4,4,1,1,1,4,4,4,1,1,1,2,2,3,1,5,4
124,ROGERIO MARINHO,PSDB,RN,2,1,1,1,3,2,1,1,2,1,5,2,1,1,2,1,2,1,1,3,1,2,4,2,1,1,1,4
125,WALTER ALVES,PMDB,RN,2,2,1,1,2,2,1,1,2,1,1,1,1,1,1,1,1,1,1,4,1,2,2,2,1,1,3,2
126,ZENAIDE MAIA,PR,RN,2,2,2,1,2,2,1,1,4,2,1,2,2,1,1,1,2,1,1,1,1,2,2,2,1,1,2,2
127,DAMIAO FELICIANO,PDT,PB,2,2,2,2,1,1,2,1,4,2,1,4,4,4,4,4,4,4,4,1,1,2,2,2,1,1,5,2
128,EFRAIM FILHO,DEM,PB,2,1,1,1,4,4,1,2,4,2,1,2,1,2,1,1,1,1,1,1,1,1,2,4,1,2,1,2
129,AGUINALDO RIBEIRO,PP,PB,2,2,1,1,2,4,1,1,2,2,1,2,2,1,1,1,1,2,1,2,1,2,2,2,1,1,2,4
130,MANOEL JUNIOR,PMDB,PB,4,2,1,1,2,2,1,1,4,2,1,1,1,1,4,4,4,4,4,4,1,4,4,2,1,1,4,4
131,BENJAMIN MARANHAO,Solidarie,PB,4,4,2,1,3,2,1,1,2,2,1,4,4,4,4,4,4,4,4,3,1,2,2,2,1,1,1,2
132,HUGO MOTTA,PMDB,PB,4,2,1,1,2,4,1,1,4,4,1,4,2,1,1,1,4,4,4,4,4,2,2,4,4,1,2,2
133,LUIZ COUTO,PT,PB,2,2,2,2,1,3,2,1,1,2,1,2,2,1,2,1,1,1,1,1,1,1,2,2,2,2,2,2
134,ROMULO GOUVEIA,PSD,PB,2,2,1,1,2,2,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,2,1,4
135,PEDRO CUNHA LIMA,PSDB,PB,2,1,1,1,3,2,1,1,4,1,5,2,2,2,2,1,1,1,1,2,1,2,1,2,1,1,5,2
136,WELLINGTON ROBERTO,PR,PB,2,2,2,1,2,2,1,1,4,2,1,2,2,1,1,1,4,4,4,1,1,4,4,2,1,1,2,1
137,VENEZIANO VITAL DO REGO,PMDB,PB,2,2,1,1,2,2,1,1,2,1,1,1,2,1,1,1,1,1,1,1,1,2,2,2,1,1,2,2
138,ADALBERTO CAVALCANTI,PTB,PE,2,2,1,1,2,2,1,1,2,2,1,4,1,1,1,1,1,1,1,1,1,2,2,2,2,1,2,4
139,WILSON FILHO,PTB,PB,2,2,1,4,4,4,1,1,4,2,1,1,1,1,1,1,1,1,1,1,1,2,2,2,1,1,4,4
141,BETINHO GOMES,PSDB,PE,2,1,2,1,3,2,1,1,2,1,5,2,1,1,2,1,1,1,1,1,1,2,1,2,3,1,5,2
